iter	RMSE
190	0.1261896519
191	0.1260678201
192	0.1259937498
193	0.125829259
194	0.1256766839
195	0.1255964817
196	0.1255004101
197	0.1253992429
198	0.1252283354
199	0.1251150985
200	0.1249333145
201	0.1248164586
202	0.124700673
203	0.1245190587
204	0.1243377453
205	0.1242012026
206	0.1240540509
207	0.1239745815
208	0.1238864132
209	0.1237917531
210	0.12367689
211	0.1235513686
212	0.1234187692
213	0.1232419205
214	0.1231249358
215	0.1230377649
216	0.122911109
217	0.1228336202
218	0.122723182
219	0.1226043587
220	0.1225156182
221	0.1224049247
222	0.1223288452
223	0.1221862081
224	0.1220302057
225	0.121868915
226	0.1217755779
227	0.1216375037
228	0.1215513743
229	0.1214800695
230	0.1213645672
231	0.1212128903
232	0.1211102769
233	0.1209952498
234	0.1208461452
235	0.1207963911
236	0.1206918878
237	0.1205869861
238	0.1204882999
239	0.1204065673
240	0.1202742489
241	0.1201592787
242	0.1200417399
243	0.1198923537
244	0.1197677249
245	0.1197213948
246	0.1195985217
247	0.1194848537
248	0.1193873968
249	0.1192853828
250	0.1191652769
251	0.1190399626
252	0.1188832176
253	0.1187813518
254	0.1186727045
255	0.1186048988
256	0.1185345165
257	0.1184449098
258	0.1183804882
259	0.1182739704
260	0.1181343741
261	0.1179693187
262	0.1178691827
263	0.1177930075
264	0.117678355
265	0.1175867292
266	0.117455081
267	0.1173629255
268	0.1172729681
269	0.1172062454
270	0.117080083
271	0.1169885248
272	0.1168710849
273	0.11674771
274	0.1166236005
275	0.1165592033
276	0.1165084714
277	0.1163565463
278	0.1162917657
279	0.116163502
280	0.1160815112
281	0.1160053788
282	0.1158910432
283	0.1157519159
284	0.1157048109
285	0.1155746915
286	0.115493135
287	0.1153821278
288	0.1152910134
289	0.1151943593
290	0.1151328213
291	0.1150881759
292	0.1150047652
293	0.1149569341
294	0.114864908
295	0.1148138969
296	0.1147026486
297	0.114633403
298	0.1145745965
299	0.1145033183
300	0.1143588071
301	0.1142315282
302	0.1140999514
303	0.1139816051
304	0.1139307302
305	0.1137788107
306	0.1137231104
307	0.1136607135
308	0.113513176
309	0.1134462275
310	0.1133763605
311	0.113282101
312	0.1132249096
313	0.1131761162
314	0.1131131164
315	0.1130211723
316	0.1129691175
317	0.112860206
318	0.1128020238
319	0.112738908
320	0.1126622122
321	0.1125758595
322	0.1125197186
323	0.1124741585
324	0.1123621925
325	0.1123102717
326	0.1122418641
327	0.112195236
328	0.1121494097
329	0.1121015856
330	0.1119959664
331	0.1118968017
332	0.1118468224
333	0.1118149035
334	0.1117837117
335	0.1117473097
336	0.1116595423
337	0.1116148937
338	0.1115219855
339	0.1114099028
340	0.1113090562
341	0.1111899593
342	0.1111048387
343	0.1110125071
344	0.110918618
345	0.1107551955
346	0.1107136916
347	0.1106282712
348	0.1105401643
349	0.110438301
350	0.1102819957
351	0.1101841381
352	0.1100897948
353	0.110049436
354	0.1099578656
355	0.10986742
356	0.1097685574
357	0.109674739
358	0.1095818936
359	0.1095409168
360	0.1094111141
361	0.109327249
362	0.10924392
363	0.1091754238
364	0.1090625575
365	0.1089720048
366	0.1089364348
367	0.1088344029
368	0.1087109009
369	0.1086162861
370	0.1085375692
371	0.1084909304
372	0.1084342744
373	0.1084004532
374	0.1083182468
375	0.1082692322
376	0.108222216
377	0.1081231345
378	0.1079986642
379	0.1079542965
380	0.1079184319
381	0.1078820688
382	0.1078264423
383	0.1077304206
384	0.1076734082
385	0.1075909924
386	0.1075562357
387	0.1074491457
388	0.1073698336
389	0.1072979141
390	0.107210059
391	0.107095655
392	0.1069827402
393	0.1068860181
394	0.1068093458
395	0.1067756455
396	0.1067451532
397	0.1067036474
398	0.1066353369
399	0.1065784092
400	0.1065486238
401	0.1064771548
402	0.1064052535
403	0.1062921176
404	0.1062076122
405	0.1061453266
406	0.1061096491
407	0.1060262372
408	0.1059748103
409	0.1058873005
410	0.1057768674
411	0.1057339128
412	0.1056511058
413	0.1056198998
414	0.1055219569
415	0.1054233939
416	0.1053374803
417	0.1052918461
418	0.1052419426
419	0.1051530252
420	0.1050706174
421	0.1050228306
422	0.1049754362
423	0.104890066
424	0.1048015031
425	0.1047329179
426	0.1046344383
427	0.1045303898
428	0.1044301995
429	0.1043451725
430	0.1042672398
431	0.104170508
432	0.1040780798
433	0.1040011903
434	0.1039205514
435	0.1038323503
436	0.1037344099
437	0.1036313751
438	0.1035904332
439	0.1035109081
440	0.1034202473
441	0.1033783481
442	0.103291249
443	0.1032678922
444	0.1031711714
445	0.1030969218
446	0.1029970872
447	0.1029159964
448	0.102880415
449	0.1028329713
450	0.1027622769
451	0.1027465328
452	0.1026786355
453	0.1026062524
454	0.102519209
455	0.1024197176
456	0.1023492073
457	0.1022784079
458	0.1022605803
459	0.1022471278
460	0.1021527238
461	0.1020851517
462	0.1020054036
463	0.1019321641
464	0.1018404312
465	0.101746202
466	0.1016868112
467	0.1016365724
468	0.1015580519
469	0.1014965217
470	0.101403212
471	0.1013489656
472	0.101259418
473	0.1011970754
474	0.1011285158
475	0.101043094
476	0.1009584872
477	0.1008810985
478	0.1008208158
479	0.1007749722
480	0.1007355334
481	0.1006849477
482	0.1006132287
483	0.1005431567
484	0.1004822205
485	0.1004422117
486	0.1003392373
487	0.1002916891
488	0.100260657
489	0.1001584874
490	0.1000629465
491	0.1000167859
492	0.09996239324
493	0.0999012341
494	0.09984782605
495	0.09976913574
496	0.09971770047
497	0.09966056196
498	0.09959024734
499	0.09950843239
500	0.09946117036
501	0.09937099948
502	0.09930104704
503	0.09920939455
504	0.09913980993
505	0.09910474094
506	0.09904204699
507	0.09896207954
508	0.0988924505
509	0.09880482788
510	0.09870553963
511	0.09866465816
512	0.09858521728
513	0.09855431475
514	0.09847784699
515	0.09844646361
516	0.09834723482
517	0.09827130989
518	0.09818224527
519	0.0981214169
520	0.09804405413
521	0.09795373381
522	0.09788824507
523	0.09780901811
524	0.09772422401
525	0.09764383968
526	0.09756883536
527	0.09749316134
528	0.09742035267
529	0.09736315206
530	0.09728958594
531	0.09720981536
532	0.09714957725
533	0.09710159826
534	0.09701428792
535	0.09691846604
536	0.09687353203
537	0.09680974235
538	0.0967717507
539	0.09669500083
540	0.09659847504
541	0.0965467456
542	0.0964787893
543	0.09638237135
544	0.09630176879
545	0.09626616982
546	0.09623798043
547	0.09617244392
548	0.09608819182
549	0.09600607922
550	0.09591706337
551	0.09580386945
552	0.09573652289
553	0.0956584402
554	0.09562860892
555	0.09556391138
556	0.09553904851
557	0.09546662108
558	0.09541020483
559	0.0953764932
560	0.09531468612
561	0.09524040143
562	0.09517103451
563	0.09510382862
564	0.09504575563
565	0.09503092142
566	0.09495283307
567	0.09492147752
568	0.0948364567
569	0.09476962416
570	0.09469664297
571	0.09465189764
572	0.09460720206
573	0.09456064036
574	0.09448654941
575	0.09438450722
576	0.09437399928
577	0.0943008641
578	0.09422781903
579	0.09422334527
580	0.09417197708
581	0.09416736957
582	0.0941585483
583	0.09409540532
584	0.09404882955
585	0.09399672241
586	0.09395418018
587	0.09391251671
588	0.09385264131
589	0.09379298245
590	0.09378524383
591	0.09374595817
592	0.0936852343
593	0.09362664047
594	0.0936061211
595	0.09357643314
596	0.09350645883
597	0.09345124417
598	0.093389704
599	0.09331801599
600	0.09325587638
601	0.0931937653
602	0.09313396871
603	0.09307283911
604	0.09304004879
605	0.09298109605
606	0.09292134231
607	0.09287818447
608	0.09284090422
609	0.09280293104
610	0.09278789417
611	0.09274325243
612	0.09269764958
613	0.09265448025
614	0.09263424335
615	0.09255759408
616	0.09250264287
617	0.09245266903
618	0.09243909133
619	0.09238160857
620	0.09230082719
621	0.0922334106
622	0.09220711835
623	0.09214744786
624	0.09211335646
625	0.09206907201
626	0.09199958099
627	0.09191990885
628	0.09186546991
629	0.09180959483
630	0.09174779399
631	0.09168290193
632	0.09163856622
633	0.09157401445
634	0.09151731759
635	0.09150330979
636	0.09144084536
637	0.09138339632
638	0.09137942445
639	0.09132149244
640	0.09126579319
641	0.09124280181
642	0.0912017335
643	0.09113959515
644	0.09108806823
645	0.09108223034
646	0.09102214968
647	0.09097620301
648	0.09091373927
649	0.09085569802
650	0.09080573553
651	0.09075383482
652	0.09071393633
653	0.09068607139
654	0.0906363949
655	0.09058621261
656	0.09051463756
657	0.09048721598
658	0.09045586081
659	0.09040229514
660	0.09031058295
661	0.09028265895
662	0.09023319893
663	0.09022625236
664	0.09018652012
665	0.09017195011
666	0.09013463437
667	0.09009452479
668	0.09004963983
669	0.09001629417
670	0.08996313621
671	0.08995890806
672	0.08992316491
673	0.08986792336
674	0.08983786555
675	0.08982428924
676	0.08975653753
677	0.08974352347
678	0.08973951648
679	0.08971767707
680	0.08966676908
681	0.08961402638
682	0.08960772491
683	0.08960088882
684	0.08957421516
685	0.08952611524
686	0.08952122187
687	0.08948414828
688	0.08946936924
689	0.08946320902
690	0.08941359559
691	0.08937478549
692	0.08936847281
693	0.08932099161
694	0.08926974736
695	0.08922513107
696	0.08916778556
697	0.08912620965
698	0.08906479891
699	0.08901339792
700	0.08900778481
701	0.08900333653
702	0.08896399135
703	0.08894991345
704	0.08889183378
705	0.08885688783
706	0.0887929806
707	0.08875186622
708	0.08869681979
709	0.08866417084
710	0.08865769267
711	0.08865301018
712	0.08858798335
713	0.08857683231
714	0.0884865156
715	0.08847501512
716	0.08840166285
717	0.08834220753
718	0.08828249586
719	0.0882294054
720	0.08820201246
721	0.08819305123
722	0.08813183046
723	0.08812842715
724	0.08807358761
725	0.08804670831
726	0.0880306347
727	0.08801930621
728	0.08795513527
729	0.08789397223
730	0.08788955473
731	0.08783242623
732	0.08778088155
733	0.08773552558
734	0.08768731675
735	0.08765534411
736	0.08759616537
737	0.08755986514
738	0.08753057822
739	0.08752255793
740	0.08747693764
741	0.08742999108
742	0.08738674931
743	0.08737598252
744	0.08730664496
745	0.08725411381
746	0.08719448983
747	0.0871511263
748	0.08711307847
749	0.08704322143
750	0.08698007842
751	0.08693067611
752	0.08692032896
753	0.08689439288
754	0.08685110805
755	0.08680793975
756	0.0867981826
757	0.0867536692
758	0.08671295944
759	0.08664806132
760	0.08662967042
761	0.08660561271
762	0.08655837676
763	0.0865314364
764	0.08649311051
765	0.08644450131
766	0.08639431414
767	0.08634756218
768	0.08633530905
769	0.08628503543
770	0.0862432674
771	0.08621775189
772	0.08616873476
773	0.08611171147
774	0.08605613953
775	0.0860532721
776	0.08601531061
777	0.0859772537
778	0.08595166183
779	0.08594130774
780	0.08590249378
781	0.08586483299
782	0.08581842948
783	0.08575236879
784	0.08572906223
785	0.08564595506
786	0.08560048698
787	0.08555626676
788	0.08549719834
789	0.08547454908
790	0.08542188944
791	0.08539466617
792	0.08535776861
793	0.08532221405
794	0.08528363963
795	0.08527467735
796	0.08526944539
797	0.08520746764
798	0.08515473475
799	0.08508992185
800	0.08504560545
801	0.08503117811
802	0.084998404
803	0.08496583486
804	0.08494136161
805	0.08489918588
806	0.08489367009
807	0.08489006349
808	0.08484215273
809	0.08483689081
810	0.08478996433
811	0.0847135576
812	0.08467465017
813	0.08462214462
814	0.08461746367
815	0.08458201374
816	0.08456576309
817	0.08452168594
818	0.08448224896
819	0.08447193895
820	0.084449994
821	0.08442351717
822	0.08438562372
823	0.08434538716
824	0.0843006348
825	0.08426458444
826	0.08424359226
827	0.08420370479
828	0.08415424484
829	0.08411761274
830	0.08407652028
831	0.08404382891
832	0.08400046952
833	0.08396489087
834	0.08392771631
835	0.0838803486
836	0.08385885371
837	0.08382660904
838	0.08375381257
839	0.0837037568
840	0.08365296418
841	0.08358198837
842	0.08354847792
843	0.08349663962
844	0.08344778959
845	0.08339033982
846	0.08335636522
847	0.08330763241
848	0.08325905006
849	0.08322280159
850	0.08319322379
851	0.08317451872
852	0.08314017954
853	0.08308018059
854	0.0830448145
855	0.08301347548
856	0.08297862789
857	0.08290872022
858	0.08288343083
859	0.08284021359
860	0.08281602797
861	0.08277126268
862	0.08274240194
863	0.08273647639
864	0.08271703186
865	0.08267065542
866	0.08262903319
867	0.08260726529
868	0.08256877503
869	0.08253866276
870	0.08248336091
871	0.08244692053
872	0.08244293672
873	0.08240933019
874	0.08237640249
875	0.08233917564
876	0.08231428414
877	0.08228186051
878	0.08225010765
879	0.08223397881
880	0.08219100107
881	0.08215788431
882	0.08211293547
883	0.08208317324
884	0.08205081705
885	0.08200936242
886	0.08200473625
887	0.0819521419
888	0.08192251359
889	0.0818864614
890	0.08188386955
891	0.0818553044
892	0.08181148369
893	0.08176324987
894	0.08172837895
895	0.08167962556
896	0.08164595986
897	0.08158004415
898	0.08153388326
899	0.08149912584
900	0.08146780549
901	0.08144732204
902	0.08140789472
903	0.08137401736
904	0.08135860451
905	0.08135609344
906	0.08133002109
907	0.08132628292
908	0.08130203099
909	0.08124541005
910	0.08124051981
911	0.08123667076
912	0.08118881575
913	0.08118248154
914	0.08113982045
915	0.08109772818
916	0.08106026609
917	0.0810212736
918	0.08097639984
919	0.08093635378
920	0.08090558288
921	0.0808855965
922	0.08085213509
923	0.08083239514
924	0.08080950791
925	0.08077576353
926	0.08074101529
927	0.08069382938
928	0.08068779728
929	0.08068512845
930	0.08065078289
931	0.0805991328
932	0.08057375965
933	0.0805428664
934	0.08048840831
935	0.08048461895
936	0.08047694831
937	0.080472568
938	0.08042317178
939	0.0803983809
940	0.08033164493
941	0.08028591274
942	0.08023640953
943	0.08020292329
944	0.08017400863
945	0.08013203383
946	0.08009769667
947	0.08006705724
948	0.08002269324
949	0.07998602571
950	0.07994841701
951	0.07992554775
952	0.07988226988
953	0.07985429465
954	0.07981715091
955	0.07976903681
956	0.07973435807
957	0.07971059285
958	0.07968142173
959	0.07965275834
960	0.07961973751
961	0.07959819011
962	0.07959418685
963	0.07954604679
964	0.07948450014
965	0.0794280045
966	0.07938003612
967	0.07933340314
968	0.07930399505
969	0.07926425934
970	0.079239487
971	0.07919686782
972	0.07916335969
973	0.07912480339
974	0.07908432532
975	0.07902996025
976	0.07902327887
977	0.07896010456
978	0.07892116172
979	0.07891716835
980	0.07888566061
981	0.07885041267
982	0.0787906377
983	0.07876700572
984	0.07872689553
985	0.07868300502
986	0.07868034549
987	0.07862864233
988	0.07860230004
989	0.07853853657
990	0.07850003008
991	0.07846956461
992	0.07842325472
993	0.07842068839
994	0.07837658561
995	0.07833415752
996	0.07832661295
997	0.0782963344
998	0.07825132787
999	0.07822122264
